809,2
810,2
811,2
812,3
813,3
814,3
815,4
816,4
817,4
818,5
819,5
820,5
821,6
822,6
823,6
824,7
825,7
826,7
827,8
828,8
829,8
830,9
831,9
832,9
833,10
834,10
835,10
836,11
837,11
838,11
840,12
841,12
839,12
843,13
844,13
842,13
846,14
847,14
845,14
849,15
848,15
850,15
851,16
852,17
853,17
854,17
855,18
856,18
857,18
859,19
858,19
860,19
861,20
862,20
863,20
865,21
866,21
864,21
867,22
868,22
869,22
870,23
871,23
872,23
873,24
874,24
875,24
876,25
877,25
878,25
880,26
881,26
879,26
883,27
882,27
884,27
885,28
886,28
887,28
888,29
889,29
890,29
891,30
892,30
893,30
894,31
895,31
896,31
897,32
898,32
899,32
900,33
901,33
902,33
903,34
904,34
905,34
906,35
907,35
908,35
909,36
910,36
911,36
912,37
913,37
914,37
915,38
916,38
917,38
