949,16
1091,12
1247,4
1109,2
1071,29
1234,18
1216,34
1139,24
987,14
1203,29
923,8
1002,32
1043,12
1129,28
1070,26
1200,5
1124,28
1057,18
1193,34
1063,24
1092,26
1239,10
1008,32
1108,17
1053,13
1268,30
1244,30
1255,10
1243,34
940,30
1242,27
1107,21
1105,23
1084,26
995,6
1040,26
1228,5
1099,5
1236,34
1096,15
1022,11
975,38
990,24
1153,8
958,26
955,36
931,23
1270,23
1191,2
1131,9
1260,31
992,27
1233,5
1197,31
1172,31
1112,19
1054,26
924,37
1210,23
1261,21
1098,22
1122,17
921,36
1141,9
1081,33
997,25
918,22
1182,6
1138,21
1265,10
1025,2
976,21
1015,35
993,20
1062,19
1151,19
1181,9
1117,6
961,31
1014,11
1083,34
1065,28
1263,7
1273,37
1252,8
1254,11
1024,10
996,28
1118,20
1183,21
1204,21
1051,9
983,22
1179,35
1102,6
1066,22
1012,21
1093,21
1097,24
1190,3
980,9
1103,17
1094,19
1072,22
1168,31
1157,29
1170,29
1039,32
957,13
1231,18
1208,4
1167,25
1147,14
1205,14
972,15
1030,15
1029,26
1048,13
1266,13
1032,34
1246,11
1238,4
925,26
1148,13
1033,15
1050,12
1188,21
953,37
10091,3
1010,35
979,6
1162,3
938,36
1137,28
959,8
1011,21
970,17
969,37
1001,38
1271,3
1003,21
1121,19
1018,21
1229,8
928,19
922,3
1169,32
1146,32
1145,32
1007,32
1156,32
1130,26
952,24
1000,30
1245,18
1224,5
1060,14
1034,26
981,31
1055,25
1154,29
932,20
1086,15
1101,15
1264,5
1144,29
966,29
1046,14
1028,11
1120,20
1259,26
1222,29
1143,14
1230,10
941,4
1142,26
1174,4
1076,4
1189,34
1036,12
1100,2
1056,30
1136,35
1155,30
1177,25
984,25
1119,31
1159,32
1080,35
1037,32
1225,2
977,11
1023,2
968,4
978,12
1013,19
982,36
944,6
1077,20
933,9
1067,22
1088,33
1219,33
1198,24
954,20
1209,20
1223,20
988,9
964,23
1218,17
1127,22
1161,22
1160,21
1195,6
1078,22
1253,8
1274,20
1237,38
1082,20
1207,19
951,27
986,34
1185,23
1115,26
945,9
1006,21
1004,21
1214,8
1134,35
971,27
1038,26
1116,26
10092,26
1213,33
936,20
1104,24
1201,37
963,9
947,20
1250,8
1123,19
930,22
1186,33
946,22
1211,38
1075,38
1073,22
1215,18
1095,3
1202,21
1150,6
939,28
994,9
1149,3
920,21
1125,16
1241,22
1126,26
919,26
1178,37
1020,21
1009,27
1045,11
1027,6
1049,15
1227,5
1192,15
1232,18
1258,2
973,34
1021,31
960,10
1041,29
1158,31
1111,5
1016,7
1005,32
1061,10
1042,32
943,18
1052,12
1087,26
1068,8
1165,24
985,18
1173,30
1035,11
1221,34
929,32
1171,30
1235,5
1058,13
1069,13
956,18
1059,4
1212,5
999,26
1275,26
1196,8
1026,13
1047,13
1257,18
1044,30
1226,5
1251,33
1180,25
967,34
1220,34
1074,21
1194,28
1064,19
1269,20
1267,22
1085,7
965,32
942,33
1217,38
1152,6
1135,28
1199,26
934,20
1106,35
927,7
1164,28
935,19
1089,21
1262,26
1184,26
1206,34
1175,36
1114,35
948,35
1017,21
974,6
937,38
1140,21
1176,21
1031,11
1249,4
1110,2
1248,4
926,8
1240,11
1163,33
989,21
950,36
962,35
1132,28
1187,35
1090,24
1256,10
1079,17
1276,23
1113,7
1166,3
991,6
1019,22
1272,20
1128,20
1133,23
