gadm,poll_unit,atlas,old_mapit,pombola,MapIt State Name,MapIt Name,MapIt ID,EP area ID,EP area name
,,EMURE/GBOYIN/EKITI EAST,EMURE/GBONYIN/EKITI EAST,Emure/Gbonyin/Ekiti East,Ekiti,EMURE/GBOYIN/EKITI EAST,1205,"area/emure/gbonyin/ekiti_east,_ekiti_state","Emure/Gbonyin/Ekiti East, Ekiti State"
,,Onitsha North/South,Onitsha North/South Federal,Onitsha North/Onitsha South,Anambra,Onitsha North/South,1235,"area/onitsha_north/south,_anambra_state","Onitsha North/South, Anambra State"
,,IJERO/EKITI WEST/ EFON,IJERO/EFON/EKITI WEST,Ijero/Ekiti West/Efon,Ekiti,IJERO/EKITI WEST/ EFON,1046,"area/ijero/ekiti_west/efon,_ekiti_state","Ijero/Ekiti West/Efon, Ekiti State"
,,OGO-OLUWA/SURULERE,Ogo Oluwa / Surulere,Ogo Oluwa/Surulere,Oyo,OGO-OLUWA/SURULERE,1042,"area/ogo-oluwa,_oyo_state","Ogo-oluwa, Oyo State"
,,,,Akinyele/Lagelu,Oyo,Akinyele/Lagelu,1008,"area/lagelu/akinyele,_oyo_state","Lagelu/Akinyele, Oyo State"
,,BATAGARAWA/RIMI/CHARANCHI,BATAGARA/CHARANGI/RIMI,Batagarawa/Charanchi/Rimi,Katsina,BATAGARAWA/RIMI/CHARANCHI,918,"area/rimi/charanchi/batagarawa,_katsina_state","Rimi/Charanchi/Batagarawa, Katsina State"
,,AKURE NORTH/AKURE SOUTH,Akure South / North,Akure North/Akure South,Ondo,AKURE NORTH/AKURE SOUTH,940,"area/akure_north/south,_ondo_state","Akure North/South, Ondo State"
,,Ovia South-West/Ovia North-East,Ovia Federal Constituency,Ovia North East/Ovia South West,Edo,Ovia South-West/Ovia North-East,1026,"area/ovia_south/west-ovia_north/east,_edo_state","Ovia South/West-Ovia North/East, Edo State"
,,Dukku / Nafada,Dukku/Nafada,Dukku/Nafada,Gombe,Dukku / Nafada,1103,"area/dukku_/_nafada,_gombe_state","Dukku / Nafada, Gombe State"
,,ANKPA/OMALA/OLAMABORO,Ankpa-Omala-Olamaboro,Ankpa/Omala/Olamaboro,Kogi,ANKPA/OMALA/OLAMABORO,990,"area/ankpa/omala/olamaboro,_kogi_state","Ankpa/Omala/Olamaboro, Kogi State"
,,,,Kaduna North,Kaduna,Kaduna North,1209,"area/kaduna_north,_kaduna_state","Kaduna North, Kaduna State"
,,JALINGO/ YORRO/ ZING,Jalingo / Yorro / Zing,Jalingo/Yorro/Zing,Taraba,JALINGO/ YORRO/ ZING,982,"area/jalingo/yorro/zing,_taraba_state","Jalingo/Yorro/Zing, Taraba State"
,,Isoko North/South,Isoko North/Isoko South,Isoko North/Isoko South,Delta,Isoko North/South,977,"area/isoko_north/south,_delta_state","Isoko North/South, Delta State"
,,BONNY/DEGEMA,Degema/Bonny,Degema/Bonny,Rivers,BONNY/DEGEMA,1083,"area/degema/bonny,_rivers_state","Degema/Bonny, Rivers State"
,,JOS NORTH/BASSA,Jos North/Bassa Federal Constituency,Jos North/Bassa,Plateau,JOS NORTH/BASSA,1088,"area/bassa/jos_north,_plateau_state","Bassa/Jos North, Plateau State"
,,KANKARA/FASKARI/SABUWA,Kankara/Faskari/Sabuwa Constituency,Faskari/Kankara/Sabuwa,Katsina,KANKARA/FASKARI/SABUWA,1127,"area/kankara/sabuwa/faskari,_katsina_state","Kankara/Sabuwa/Faskari, Katsina State"
,,,,Abeokuta South,Ogun,Abeokuta South,1071,"area/abeokuta_south,_ogun_state","Abeokuta South, Ogun State"
,,,,Ningi/Warji,Bauchi,NINGI/WARJI,1027,"area/ningi/warji,_bauchi_state","Ningi/Warji, Bauchi State"
,,TAMBUWAL-KEBBE,Kebbe/Tambuwal Federal Constituency,Kebbe/Tambuwal,Sokoto,TAMBUWAL-KEBBE,1114,"area/kebbe/tambuwal,_sokoto_state","Kebbe/Tambuwal, Sokoto State"
,,,,Zango/Baure,Katsina,ZANGO/BAURE,1019,"area/baure/zango,_katsina_state","Baure/Zango, Katsina State"
,,Ado/Ogbadigba/Okpokwu,ADO/OGBADIBO/OKPOKWU,Ado/Obadigbo/Okpokwu,Benue,Ado/Ogbadigba/Okpokwu,923,"area/ado/obadigbo/opkokwu,_benue_state","Ado/Obadigbo/Opkokwu, Benue State"
,,Ikwuano/Umuahia North/South,Umahia North/South/Ikwuaro,Umuahia North/ Umuahia South/ Ikwuano,Abia,Ikwuano/Umuahia North/South,1100,"area/ikwuano/umuahia_north/south,_abia_state","Ikwuano/Umuahia North/South, Abia State"
,,,,Ojo,Lagos,OJO,1087,"area/ojo,_lagos_state","Ojo, Lagos State"
,,PORT HARCOURT I,Port Harcourt One,Port Harcourt I,Rivers,PORT HARCOURT I,967,"area/port_harcourt_1,_rivers_state","Port Harcourt 1, Rivers State"
,,Warri,Warri North/Warri South/Warri West,Warri North/Warri South/Warri South West,Delta,Warri,1240,"area/warri,_delta_state","Warri, Delta State"
,,Yola North/Yola South/Girei,Yola North/Yola South & Girei,Yola North/Yola South/Girei,Adamawa,Yola North/Yola South/Girei,1166,"area/yola_north/yola_south/girei,_adamawa_state","Yola North/Yola South/Girei, Adamawa State"
,,Ohaji-Egbema/Oguta/Oru West,Ohaji / Egbema-Oguta-Oru West,Oguta/Ohaji-Egbema/Oru West,Imo,Ohaji-Egbema/Oguta/Oru West,943,"area/oguta/ohaji-egbema/oru_west,_imo_state","Oguta/Ohaji-Egbema/Oru West, Imo State"
,,Aniocha North/South,Aniocha North/Aniocha South/Oshimili North/Oshimili South,Aniocha North/Aniocha South/Oshimili North/Oshimili South,Delta,Aniocha North/South,1022,"area/aniocha_north/aniocha_south/_oshimili_n_&_s,_delta_state","Aniocha North/Aniocha South/ Oshimili N & S, Delta State"
,,AKWANGA//WAMBA/NASARAWA EGGON,AKWANGA/WAMBA/NASARAWA EGGON,Akwanga/Nassarawa Eggon/Wamba,Nassarawa,AKWANGA//WAMBA/NASARAWA EGGON,1242,"area/akwanga/nasarawa_eggon/wamba,_nassarawa_state","Akwanga/Nasarawa Eggon/Wamba, Nassarawa State"
,,,,Argungu/Augie,Kebbi,Argungu/Augie,1270,"area/argungu/augie,_kebbi_state","Argungu/Augie, Kebbi State"
,,GBAKO/BIDA/KATCHA,Bida Gbaka Paicho,Bida/Gbako/Katcha,Niger,GBAKO/BIDA/KATCHA,1137,"area/bida/gbako/katcha,_niger_state","Bida/Gbako/Katcha, Niger State"
,,Yenagoa/Kolokuma/Opokuma,Yenagoa/K/Opokuma,Yenagoa/Kolokuna/Opokuma,Bayelsa,Yenagoa/Kolokuma/Opokuma,1113,"area/yenagoa/kolokuna/opokuma,_bayelsa_state","Yenagoa/Kolokuna/Opokuma, Bayelsa State"
,,Brass/Nembe,Brass / Nembe,Brass / Nembe,Bayelsa,Brass/Nembe,1263,"area/brass/nembe,_bayelsa_state","Brass/Nembe, Bayelsa State"
,,,,Kaura,Kaduna,Kaura,1274,"area/kaura,_kaduna_state","Kaura, Kaduna State"
,,LOKOJA/KOGI (KK),Lokoja,Kogi (Lokoja)/Kogi (K.K.),Kogi,LOKOJA/KOGI (KK),1104,"area/lokoja/kogi/kk,_kogi_state","Lokoja/Kogi/KK, Kogi State"
,,IKENNE/SHAGAMU/REMO NORTH,Sagamu/Ikenne / Remo North,Ikenne/Shagamu/Remo North,Ogun,IKENNE/SHAGAMU/REMO NORTH,1222,"area/ikenne/shagamu/remo_north,_ogun_state","Ikenne/Shagamu/Remo North, Ogun State"
,,,,Akamkpa/Biase,Cross River,AKAMKPA/BIASE,1239,"area/akamkpa/biase,_cross_river_state","Akamkpa/Biase, Cross River State"
,,Okigwe/Isiala-Mbano/Onuimo,Onuimo/Okigwe/Isiala Mbano,Isiala Mbano/Okigwe/Onuimo,Imo,Okigwe/Isiala-Mbano/Onuimo,985,"area/isiala_mbano/okigwe/onuimo,_imo_state","Isiala Mbano/Okigwe/Onuimo, Imo State"
,,SURULERE I,Surulere I Federal Constituency,Surulere I,Lagos,SURULERE I,1262,"area/surulere_i,_lagos_state","Surulere I, Lagos State"
,,Jema'a/Sanga,Jema'a /Sanga,Jema'a/Sanga,Kaduna,Jema'a/Sanga,1077,"area/jemaa/sanga,_kaduna_state","Jemaa/Sanga, Kaduna State"
,,,,Jos South/Jos East,Plateau,Jos South/Jos East,1219,"area/jos_south/east,_plateau_state","Jos South/East, Plateau State"
,,Zangon Kataf/Jaba,Jaba/Zangon Kafat,Zangon Kataf/Jaba,Kaduna,Zangon Kataf/Jaba,1272,"area/zangon_kataf/jaba,_kaduna_state","Zangon Kataf/Jaba, Kaduna State"
,,,,Fagge,Kano,Fagge,1188,"area/fagge,_kano_state","Fagge, Kano State"
,,,,Igabi,Kaduna,Igabi,932,"area/igabi,_kaduna_state","Igabi, Kaduna State"
,,,,Guma/Makurdi,Benue,MAKURDI/GUMA,1250,"area/makurdi/guma,_benue_state","Makurdi/Guma, Benue State"
,,Municipal,Kano Municipal,Kano Municipal,Kano,Municipal,920,"area/kano_municipal,_kano_state","Kano Municipal, Kano State"
,,,,Gamawa,Bauchi,Gamawa,979,"area/gamawa,_bauchi_state","Gamawa, Bauchi State"
,,,,Alimosho,Lagos,Alimosho,1084,"area/alimosho,_lagos_state","Alimosho, Lagos State"
,,,,Langtang North/Langtang South,Plateau,Langtang North/Langtang South,1213,"area/langtang_north/south,_plateau_state","Langtang North/South, Plateau State"
,,,,Lagos Island II,Lagos,LAGOS ISLAND II,1116,"area/lagos_island_ii,_lagos_state","Lagos Island II, Lagos State"
,,,,Akko,Gombe,AKKO,1108,"area/akko,_gombe_state","Akko, Gombe State"
,,,,Babura/Garki,Jigawa,BABURA/GARKI,1112,"area/babura/garki,_jigawa_state","Babura/Garki, Jigawa State"
,,OSHODI/ISOLO I,Oshodi-Isolo I Federal Constituency,Oshodi/Isolo I,Lagos,OSHODI/ISOLO I,999,"area/oshodi-isolo_i,_lagos_state","Oshodi-Isolo I, Lagos State"
,,,,Yakurr/Abi,Cross River,Yakurr/Abi,1256,"area/yakurr/abi,_cross_river_state","Yakurr/Abi, Cross River State"
,,MARADUN/BAKURA,Bakura/Maradun,Bakura/Maradun,Zamfara,MARADUN/BAKURA,1211,"area/bakura/maradun,_zamfara_state","Bakura/Maradun, Zamfara State"
,,Enugu East/Isi-Uzo,Enugu_East / Isi-Uzo,Enugu East/Isi Uzo,Enugu,Enugu East/Isi-Uzo,972,"area/enugu_east/isi-uzo,_enugu_state","Enugu East/Isi-Uzo, Enugu State"
,,MALUMFASHI/KAFUR,Malunfashi/Kafur,Malumfashi/Kafur,Katsina,MALUMFASHI/KAFUR,930,"area/malumfashi/kafur,_katsina_state","MalumFashi/Kafur, Katsina State"
,,,,Ezeagu/Udi,Enugu,Ezeagu/Udi,1033,"area/ezeagu/udi,_enugu_state","Ezeagu/Udi, Enugu State"
,,,,Akoko-Edo,Edo,Akoko-Edo,1053,"area/akoko-edo,_edo_state","Akoko-Edo, Edo State"
,,Itu/Ibiono Ibom,Itu,Itu/Ibiono Ibom,Akwa Ibom,Itu/Ibiono Ibom,968,"area/itu/ibiono_ibom,_akwa_ibom_state","Itu/Ibiono Ibom, Akwa Ibom State"
,,YAURI/NGASKI /SHANGA,Yauri/Shanga/Ngaski,Ngaski/Shanga/Yauri,Kebbi,YAURI/NGASKI /SHANGA,1276,"area/yauri/shanga/ngaski,_kebbi_state","Yauri/Shanga/Ngaski, Kebbi State"
,,,,Sagbama/Ekeremor,Bayelsa,Sagbama/Ekeremor,1085,"area/sagbama/ekeremor,_bayelsa_state","Sagbama/Ekeremor, Bayelsa State"
,,IFO/EWEKORO,Ifo / Ewekoro,Ifo/Ewekoro,Ogun,IFO/EWEKORO,1154,"area/ifo/ewekoro,_ogun_state","Ifo/Ewekoro, Ogun State"
,,Ika,Ikan North-East,Ika North East/Ika South,Delta,Ika,1028,"area/ika,_delta_state","Ika, Delta State"
,,MARU/BUNGUDU,Bungudu/Maru,Bungudu/Maru,Zamfara,MARU/BUNGUDU,1075,"area/bungudu/maru,_zamfara_state","Bungudu/Maru, Zamfara State"
,,KOKO-BESSE/MAIYAMA,Maiyama/koko - Besse,Koko-Besse/Maiyama,Kebbi,KOKO-BESSE/MAIYAMA,1185,"area/maiyama/koko/besse,_kebbi_state","Maiyama/Koko/Besse, Kebbi State"
,,Abaji/Gwagwalada/Kwali/Kuje,Gwagwala/Kuje,Abaji/Gwagwalada/Kwali/Kuje,Federal Capital Territory,Abaji/Gwagwalada/Kwali/Kuje,949,"area/kuje/abaji/gwagwalada/kwali,_federal_capital_territory_state","Kuje/Abaji/Gwagwalada/Kwali, Federal Capital Territory State"
,,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko,Oron/Mbo/Okobo/Urefong/udung-Uko,Oron/Mbo/Okobo/Udung Uko/Urue Offong/Oruko,Akwa Ibom,Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko,1059,"area/oron/mbo/okobo/urueoffong/oruko/udung-uko,_akwa_ibom_state","Oron/Mbo/Okobo/UrueOffong/Oruko/Udung-Uko, Akwa Ibom State"
,,Ikom/Boki,Boki/Ikom,Boki/Ikom,Cross River,Ikom/Boki,1230,"area/ikom/boki,_cross_river_state","Ikom/Boki, Cross River State"
,,,,Arochukwu/Ohafia,Abia,Arochukwu/Ohafia,1191,"area/arochukwu/ohafia,_abia_state","Arochukwu/Ohafia, Abia State"
,,DAURA/MAI'ADUA/SANDAMU,Daura/Maiduwa/Sadamu Constituency,Daura/Sandamu/Mai’adua,Katsina,DAURA/MAI'ADUA/SANDAMU,1066,"area/daura/sandamu/maiadua,_katsina_state","Daura/Sandamu/MaiAdua, Katsina State"
,,,,Katagum,Bauchi,Katagum,1195,"area/katagum,_bauchi_state","Katagum, Bauchi State"
,,KANKIA/KUSADA/INGAWA,Kankia/Kusada/ Ingawa Federal Constituency,Ingawa/Kankia/Kusada,Katsina,KANKIA/KUSADA/INGAWA,1161,"area/kankia/ingawa/kusada,_katsina_state","Kankia/Ingawa/Kusada, Katsina State"
,,Balanga/Billiri,Balanga/Biliri,Balanga/Biliri,Gombe,Balanga/Billiri,1122,"area/balanga/billiri,_gombe_state","Balanga/Billiri, Gombe State"
,,Hadejia/Kafin Hausa/Auyo,Hadejia/KafinHau,Hadejia/Kafin Hausa,Jigawa,Hadejia/Kafin Hausa/Auyo,928,"area/hadejia/kafin_hausa/auyo,_jigawa_state","Hadejia/Kafin Hausa/Auyo, Jigawa State"
,,IKOLE/OYE,Ekiti North,Ikole/Oye,Ekiti,IKOLE/OYE,1143,"area/ikole/oye,_ekiti_state","Ikole/Oye, Ekiti State"
,,,,Obubra/Etung,Cross River,Obubra/Etung,960,"area/obubra/etung,_cross_river_state","Obubra/Etung, Cross River State"
,,ANDONI/OPOBO-NKORO,Opobo / Nkoro,Opobo/Nkoro/Andoni,Rivers,ANDONI/OPOBO-NKORO,1236,"area/andoni/opobo/nkoro,_rivers_state","Andoni/Opobo/Nkoro, Rivers State"
,,Rano/Bunkure/Kibiya,Rano/Bunkure/Kibiya Constituency,Rano/Bunkure/Kibiya,Kano,Rano/Bunkure/Kibiya,1074,"area/rano/bunkure/kibiya,_kano_state","Rano/Bunkure/Kibiya, Kano State"
,,Esan North-East/Esan South- East,Esan North East/South West,Esan North East/Esan South East,Edo,Esan North-East/Esan South- East,1266,"area/esan_north-east/esan_south-_east,_edo_state","Esan North-East/Esan South- East, Edo State"
,,,,Bende,Abia,Bende,1025,"area/bende,_abia_state","Bende, Abia State"
,,KOSOFE,Kosofe Federal Constituency,Kosofe,Lagos,KOSOFE,1115,"area/kosofe,_lagos_state","Kosofe, Lagos State"
,,Oyi/Ayamelum,Ayamelum / Oyi,Oyi/Ayamelum,Anambra,Oyi/Ayamelum,1226,"area/oyi/ayamelum,_anambra_state","Oyi/Ayamelum, Anambra State"
,,Bekwarra/Obudu/Obanliku,Obanliku/OBUDU/BEKWARRA,Obanliku/Obudu/Bekwarra,Cross River,Bekwarra/Obudu/Obanliku,1265,"area/bekwarra/obudu/obanliku,_cross_river_state","Bekwarra/Obudu/Obanliku, Cross River State"
,,,,Sabon Gari,Kaduna,Sabon Gari,1269,"area/sabon_gari,_kaduna_state","Sabon Gari, Kaduna State"
,,,,Birnin-Kudu/Buji,Jigawa,Birnin-Kudu/Buji,1062,"area/birnin-kudu/buji,_jigawa_state","Birnin-Kudu/Buji, Jigawa State"
,,Ikara/Kubau,Ikara/KuKubau,Ikara/Kubau,Kaduna,Ikara/Kubau,1120,"area/ikara/kubau,_kaduna_state","Ikara/Kubau, Kaduna State"
,,Kachia/Kagarko,Kachiya/Kagarko,Kachia/Kagarko,Kaduna,Kachia/Kagarko,954,"area/kachia/kagarko,_kaduna_state","Kachia/Kagarko, Kaduna State"
,,ATAKUNMOSA EAST/WEST/ILESHA EAST/WEST,Atakumosa / East/ West & Ilesa East /West,Atakunmosa East/ Atakunmosa West/Ilesha East/Ilesha West,Osun,ATAKUNMOSA EAST/WEST/ILESHA EAST/WEST,1260,"area/atakunmosa_east/_atakunmosa_west/ilesha_east/,_osun_state","Atakunmosa East/ Atakunmosa West/Ilesha East/, Osun State"
,,ETCHE/OMUMA,Etche / Omuma,Etche/Omuma,Rivers,ETCHE/OMUMA,1032,"area/etche/omuma,_rivers_state","Etche/Omuma, Rivers State"
,,,,Bichi,Kano,Bichi,976,"area/bichi,_kano_state","Bichi, Kano State"
,,,,Kaltungo/Shongom,Gombe,KALTUNGO/SHONGOM,1218,"area/kaltungo/shongom,_gombe_state","Kaltungo/Shongom, Gombe State"
,,AKOKO SOUTH EAST/ AKOKO SOUTH WEST,Akoko South East/South Wes,Akoko South East/South West,Ondo,AKOKO SOUTH EAST/ AKOKO SOUTH WEST,1244,"area/akoko_south_east/south_west,_ondo_state","Akoko South East/South West, Ondo State"
,,Ikot Abasi/MKPAT ENIN/EASTERN OBOLO,Ikot Abasi,Ikot Abasi/Mkpat Enin/Eastern Obolo,Akwa Ibom,Ikot Abasi/MKPAT ENIN/EASTERN OBOLO,1174,"area/ikot_abasi/mkpat_enin/eastern_obolo,_akwa_ibom_state","Ikot Abasi/Mkpat Enin/Eastern Obolo, Akwa Ibom State"
,,,,Ibadan North,Oyo,Ibadan North,1169,"area/ibadan_north,_oyo_state","Ibadan North, Oyo State"
,,,,Dutse/Kiyawa,Jigawa,DUTSE/KIYAWA,1094,"area/dutse/kiyawa,_jigawa_state","Dutse/Kiyawa, Jigawa State"
,,Idah/Igalamela-Odolu/Ibaji/Ofu,IDAH/IGALAMELA/IBAJI/OFU,Idah/Igalamela Odolu/Ibaji/ Ofu,Kogi,Idah/Igalamela-Odolu/Ibaji/Ofu,952,"area/idah/ibaji/igalamela/ofu,_kogi_state","Idah/Ibaji/Igalamela/Ofu, Kogi State"
,,BARKIN LADI/RIYOM,Barakin-Ladi/Riyom,Barkin Ladi/Riyom,Plateau,BARKIN LADI/RIYOM,1081,"area/barkin_ladi/riyom,_plateau_state","Barkin Ladi/Riyom, Plateau State"
,,,,Badagry,Lagos,Badagry,1054,"area/badagry,_lagos_state","Badagry, Lagos State"
,,Minjibir/Ungogo,Ungogo/Minjibir,Minjibir/Ungogo,Kano,Minjibir/Ungogo,1202,"area/minjibir/ungogo,_kano_state","Minjibir/Ungogo, Kano State"
,,ILELLA/GWADABAWA,ILLELA/GWADABAWA,Illela/Gwadabawa,Sokoto,ILELLA/GWADABAWA,1136,"area/gwadabawa_/_illela,_sokoto_state","Gwadabawa / Illela, Sokoto State"
,,EGBADO-SOUTH/IPOKIA,Egbado South/Ipokia,Egbado South/Ipokia,Ogun,EGBADO-SOUTH/IPOKIA,1170,"area/egbado_south_and_ipokia,_ogun_state","Egbado South and Ipokia, Ogun State"
,,,,Alkaleri/Kirfi,Bauchi,ALKALERI/KIRFI,995,"area/alkaleri/kirfi,_bauchi_state","Alkaleri/Kirfi, Bauchi State"
,,,,Matazu/Musawa,Katsina,MUSAWA/MATAZU,1241,"area/musawa/matazu,_katsina_state","Musawa/Matazu, Katsina State"
,,,,Ajeromi/Ifelodun,Lagos,AJEROMI/IFELODUN,1092,"area/ajeromi-ifelodun,_lagos_state","Ajeromi-Ifelodun, Lagos State"
,,IJEBU-EAST/IJEBU-NORTH/OGUN-WATERSIDE,Ogun Waterside/Ijebu North /East,Ijebu North/Ijebu East/Ogun Waterside,Ogun,IJEBU-EAST/IJEBU-NORTH/OGUN-WATERSIDE,1144,"area/ijebu_north/ijebu_east/ogun_waterside,_ogun_state","Ijebu North/Ijebu East/Ogun Waterside, Ogun State"
,,IFE CENTRAL/ IFE EAST/ IFE NORTH/ IFE SOUTH,Ife Federal Constituency,Ife Central/Ife North/Ife South/Ife East ,Osun,IFE CENTRAL/ IFE EAST/ IFE NORTH/ IFE SOUTH,981,"area/ife_central/east/north/south,_osun_state","Ife Central/East/North/South, Osun State"
,,Misau/Damban,Misau/ Dambam,Misau/Dambam,Bauchi,Misau/Damban,1150,"area/misau/dambam,_bauchi_state","Misau/Dambam, Bauchi State"
,,Isuikwato/Umunneochi,Isuikwua/Umunneochi,Isuikwuato/Umunneochi,Abia,Isuikwato/Umunneochi,1023,"area/isuikwato/umunneochi,_abia_state","Isuikwato/Umunneochi, Abia State"
,,Maiduguri (Metropolitan),Maiduguri,Maiduguri (Metropolitan),Borno,Maiduguri (Metropolitan),963,"area/maiduguri_(metropolitan),_borno_state","Maiduguri (Metropolitan), Borno State"
,,Ukanafun/Oruk anam,Ukanafun/Orukaanam,Ukanafun/Oruk Anam,Akwa Ibom,Ukanafun/Oruk anam,1249,"area/ukanafun/orukanam,_akwa_ibom_state","Ukanafun/Orukanam, Akwa Ibom State"
,,KAURA-NAMODA/BIRNIN MAGAJI,KAURA - NAMODA/BIRNIN MAGAJI,Kaura-Namoda/Birnin Magaji,Zamfara,KAURA-NAMODA/BIRNIN MAGAJI,1237,"area/kaura_namoda/birnin_magaji,_zamfara_state","Kaura Namoda/Birnin Magaji, Zamfara State"
,,,,Ikorodu,Lagos,Ikorodu,1142,"area/ikorodu,_lagos_state","Ikorodu, Lagos State"
,,,,Jere,Borno,Jere,933,"area/jere,_borno_state","Jere, Borno State"
,,,,Kwande/Ushongo,Benue,Kwande/Ushongo,1214,"area/kwande/ushongo,_benue_state","Kwande/Ushongo, Benue State"
,,IBARAPA CENTRAL/IBARAPA NORTH,Ibarapa Central/North,Ibarapa Central/Ibarapa North,Oyo,IBARAPA CENTRAL/IBARAPA NORTH,1007,"area/ibarapa_central/ibarapa_north,_oyo_state","Ibarapa Central/Ibarapa North, Oyo State"
,,DANGE SHUNI/BODINGA/TURETA,Dange-Shuni/Bodinga/Tureta,Dange-Shuni/Bodinga/Tureta,Sokoto,DANGE SHUNI/BODINGA/TURETA,1179,"area/bodinga/dange-shuni/tureta,_sokoto_state","Bodinga/Dange-Shuni/Tureta, Sokoto State"
,,,,Kware/Wamakko,Sokoto,KWARE/WAMMAKO,1134,"area/kware/wamakko,_sokoto_state","Kware/Wamakko, Sokoto State"
,,Nwangele/Isu/Njaba/Nkwerre,NKWERRE/NWANGELE/ISU/NJABA,Isu/Njaba/Nkwerre/Nwangele,Imo,Nwangele/Isu/Njaba/Nkwerre,1232,"area/isu/njaba/nkwerre/nwangele,_imo_state","Isu/Njaba/Nkwerre/Nwangele, Imo State"
,,,,Dawakin-Tofa/Tofa/Rimin Gado,Kano,Dawakin-Tofa/Tofa/Rimin Gado,1093,"area/dawakin-tofa/tofa/rimin_gado,_kano_state","Dawakin-Tofa/Tofa/Rimin Gado, Kano State"
,,Gwer-East/Gwer-West,Gwer East/Gwer West,Gwer East/Gwer West,Benue,Gwer-East/Gwer-West,1229,"area/gwer_east/gwer_west,_benue_state","Gwer East/Gwer West, Benue State"
,,Ideato North /South,IDEATO NORTH/SOUTH,Ideato North/Ideato South,Imo,Ideato North /South,1245,"area/ideato_north_/south,_imo_state","Ideato North /South, Imo State"
,,AYEDAADE/IREWOLE/ISOKAN,Ayedaade / Irewole / Isokan,Ayedaade/Irewole/Isokan,Osun,AYEDAADE/IREWOLE/ISOKAN,1197,"area/ayedaade/irewole/isokan,_osun_state","Ayedaade/Irewole/Isokan, Osun State"
,,Esan Central/West/Igueben,Esan Central,Esan Central/Esan South/ Igueben,Edo,Esan Central/West/Igueben,1048,"area/esan_central/west/igueben,_edo_state","Esan Central/West/Igueben, Edo State"
,,Dikwa/Mafa/Konduga,Mafa/Dikwa/Konduga,Dikwa/Mafa/Konduga,Borno,Dikwa/Mafa/Konduga,980,"area/dikwa/mafaf/konduga,_borno_state","Dikwa/Mafaf/Konduga, Borno State"
,,,,Toro,Bauchi,Toro,974,"area/toro,_bauchi_state","Toro, Bauchi State"
,,BOGORO/ DASS/ TAFAWA BALEWA,Bogoro/Dass/Tafawa-B,Bogoro/Dass/Tafawa Balewa,Bauchi,BOGORO/ DASS/ TAFAWA BALEWA,1117,"area/bogoro/dass/tafawa_balewa,_bauchi_state","Bogoro/Dass/Tafawa Balewa, Bauchi State"
,,,,Soba,Kaduna,Soba,934,"area/soba,_kaduna_state","Soba, Kaduna State"
,,Obingwa/Osisioma/Ugwunagbo,Obingwa/osisioma/Ugwumagbo,Obingwa/Ugwunagbo/Osisioma,Abia,Obingwa/Osisioma/Ugwunagbo,1258,"area/obingwa/osisioma/ugbunagbo,_abia_state","Obingwa/Osisioma/Ugbunagbo, Abia State"
,,Orlu/Oru East/Orsu,ORLU/ORSU/ORUE AST,Orue East/Orsu/Orlu,Imo,Orlu/Oru East/Orsu,956,"area/orlu/oru_east/orsu,_imo_state","Orlu/Oru East/Orsu, Imo State"
,,Etsako East/West/Central,Etsako,Etsako East/Etsako West/ Etsako Central ,Edo,Etsako East/West/Central,1148,"area/etsako_east/west/central,_edo_state","Etsako East/West/Central, Edo State"
,,Jama'are/itas-gadau,JAMAARE/ITAS-GADAU,Jama'are/Itas-Gadau,Bauchi,Jama'are/itas-gadau,944,"area/jama’are/itas-gadau,_bauchi_state","Jama’are/Itas-Gadau, Bauchi State"
,,WUSHISHI/MASHEGU/KONTAGORA/MARIGA,Kontagora/Wushishi/Mariga/Mashegu,Kontagora/Wushishi/Mariga/Mashegu,Niger,WUSHISHI/MASHEGU/KONTAGORA/MARIGA,1132,"area/kontagora/wushishi/mariga/masheg,_niger_state","Kontagora/Wushishi/Mariga/Masheg, Niger State"
,,,,Zaki,Bauchi,Zaki,991,"area/zaki,_bauchi_state","Zaki, Bauchi State"
,,,,Bokkos/Mangu,Plateau,MANGU/BOKKOS,1186,"area/mangu/bokkos,_plateau_state","Mangu/Bokkos, Plateau State"
,,,,Doguwa/Tudun Wada,Kano,Tudun-Wada/Doguwa,1176,"area/tudun-wada/doguwa,_kano_state","Tudun-Wada/Doguwa, Kano State"
,,,,Kauru,Kaduna,Kauru,1082,"area/kauru,_kaduna_state","Kauru, Kaduna State"
,,,,Gwale,Kano,Gwale,1003,"area/gwale,_kano_state","Gwale, Kano State"
,,,,Buruku,Benue,Buruku,1252,"area/buruku,_benue_state","Buruku, Benue State"
,,IDO-OSI/MOBA/ILEJEMEJE,EKITI II,Ido-Osi/Moba/Ilejeme,Ekiti,IDO-OSI/MOBA/ILEJEMEJE,1060,"area/ido/osi,_moba/ilejeme,_ekiti_state","Ido/Osi, Moba/Ilejeme, Ekiti State"
,,,,Tangaza/Gudu,Sokoto,Tangaza/Gudu,948,"area/gudu/tangaza,_sokoto_state","Gudu/Tangaza, Sokoto State"
,,AGAIE/LAPAI,Agale / Lapai,Agaie/Lapai,Niger,AGAIE/LAPAI,1129,"area/agaie/lapai,_niger_state","Agaie/Lapai, Niger State"
,,,,Ihiala,Anambra,Ihiala,1264,"area/ihiala,_anambra_state","Ihiala, Anambra State"
